Iteration,film = A_Probability,film = B_Probability,film = C_Probability
38,0.3874560651368897,0.35065122126070414,0.2618927136024063
39,0.39358150448552076,0.3471447090480971,0.2592737864663822
40,0.39358150448552076,0.3471447090480971,0.2592737864663822
41,0.39358150448552076,0.3471447090480971,0.2592737864663822
42,0.39358150448552076,0.3471447090480971,0.2592737864663822
43,0.39358150448552076,0.3471447090480971,0.2592737864663822
44,0.39358150448552076,0.3471447090480971,0.2592737864663822
45,0.39964568944066553,0.3436732619576161,0.2566810486017184
46,0.4056492325462589,0.34023652933803994,0.2541142381157012
47,0.40159274022079633,0.34683416404465955,0.2515730957345442
48,0.40757681281858826,0.34336582240421293,0.24905736477719873
49,0.40757681281858826,0.34336582240421293,0.24905736477719873
50,0.41350104469040244,0.33993216418017086,0.24656679112942675
51,0.41350104469040244,0.33993216418017086,0.24656679112942675
52,0.41936603424349844,0.3365328425383691,0.2441011232181325
53,0.4151723739010635,0.34316751411298546,0.24166011198595116
54,0.4151723739010635,0.34316751411298546,0.24166011198595116
55,0.41102065016205275,0.34973583897185556,0.2392435108660916
56,0.4069104436604322,0.35623848058213703,0.2368510757574307
57,0.4069104436604322,0.35623848058213703,0.2368510757574307
58,0.41284133922382793,0.3526760957763157,0.23448256499985642
59,0.40871292583158964,0.35914933481855255,0.23213773934985785
60,0.41462579657327375,0.355557841470367,0.22981636195635927
61,0.420479538607541,0.35200226305566334,0.22751819833679568
62,0.4262747432214656,0.3484822404251067,0.22524301635342772
63,0.4220119957892509,0.35499741802085566,0.22299058618989345
64,0.4177918758313584,0.3614474438406471,0.2207606803279945
65,0.42361395707304483,0.35783296940224063,0.21855307352471456
66,0.42361395707304483,0.35783296940224063,0.21855307352471456
67,0.4293778175023144,0.35425463970821824,0.21636754278946743
68,0.4250840393272913,0.3607120933111361,0.21420386736157276
69,0.4208331989340184,0.3671049723780247,0.21206182868795703
70,0.4166248669446782,0.37343392265424447,0.20994121040107747
71,0.4224586182752314,0.36969958342770204,0.2078417982970667
72,0.4224586182752314,0.36969958342770204,0.2078417982970667
73,0.42823403209247907,0.366002587593425,0.20576338031409602
74,0.4339516917715542,0.36234256171749074,0.203705746510955
75,0.43961217485383863,0.35871913610031586,0.20166868904584545
76,0.43961217485383863,0.35871913610031586,0.20166868904584545
77,0.44521605310530027,0.3551319447393127,0.199652002155387
78,0.4407638925742473,0.36158062529191964,0.19765548213383316
79,0.44635625364850473,0.3579648190390004,0.19567892731249478
80,0.44635625364850473,0.3579648190390004,0.19567892731249478
81,0.4518926911120197,0.3543851708486104,0.19372213803936983
82,0.45737376420089954,0.35084131914012434,0.19178491665897615
83,0.4628000265588905,0.3473329059487231,0.18986706749238638
84,0.4581720262933016,0.3538595768892359,0.18796839681746252
85,0.4635903060303686,0.35032098112034354,0.1860887128492879
86,0.4689544029700649,0.3468177713091401,0.18422782572079502
87,0.47426485894036424,0.3433495935960487,0.18238554746358707
88,0.4795222103509606,0.33991609766008823,0.1805616919889512
89,0.47472698824745097,0.3465169366834874,0.1787560750690617
90,0.47997971836497644,0.3430517673166525,0.17696851431837107
91,0.4851799211813267,0.33962124964348595,0.17519882917518736
92,0.4851799211813267,0.33962124964348595,0.17519882917518736
93,0.4803281219695134,0.3462250371470511,0.17344684088343548
94,0.47552484074981827,0.3527627867755806,0.17171237247460114
95,0.4707695923423201,0.3592351589078248,0.16999524874985514
96,0.4707695923423201,0.3592351589078248,0.16999524874985514
97,0.4707695923423201,0.3592351589078248,0.16999524874985514
98,0.4707695923423201,0.3592351589078248,0.16999524874985514
99,0.4760618964188969,0.3556428073187466,0.1682952962623566
100,0.4760618964188969,0.3556428073187466,0.1682952962623566
101,0.4813012774547079,0.35208637924555913,0.166612343299733
102,0.4864882646801608,0.34856551545310355,0.1649462198667357
103,0.4864882646801608,0.34856551545310355,0.1649462198667357
104,0.4916233820333592,0.3450798602985725,0.16329675766806834
105,0.48670714821302563,0.3516290616955868,0.16166379009138765
106,0.49184007673089536,0.3481127710786309,0.16004715219047377
107,0.4969216759635864,0.34463164336784463,0.15844668066856904
108,0.49195245920395053,0.3511853269341662,0.15686221386188334
109,0.49195245920395053,0.3511853269341662,0.15686221386188334
110,0.48703293461191105,0.35767347366482455,0.1552935917232645
