Iteration,film = A_TimesChosen,film = B_TimesChosen,film = C_TimesChosen
618,275,172,172
619,275,173,172
620,275,174,172
621,275,174,173
622,275,174,174
623,276,174,174
624,276,175,174
625,276,176,174
626,276,176,175
627,276,176,176
628,276,176,177
629,276,177,177
630,277,177,177
631,277,177,178
632,277,177,179
633,278,177,179
634,278,177,180
635,278,178,180
636,279,178,180
637,279,178,181
638,279,179,181
639,280,179,181
640,281,179,181
641,282,179,181
642,282,179,182
643,283,179,182
644,284,179,182
645,285,179,182
646,286,179,182
647,287,179,182
648,287,179,183
649,287,179,184
650,287,179,185
651,288,179,185
652,288,179,186
653,288,179,187
654,288,179,188
655,289,179,188
656,290,179,188
657,290,179,189
658,290,179,190
659,291,179,190
660,292,179,190
661,292,180,190
662,292,181,190
663,293,181,190
664,293,181,191
665,293,181,192
666,294,181,192
667,295,181,192
668,295,181,193
669,295,181,194
670,295,181,195
671,295,182,195
672,295,183,195
673,295,183,196
674,295,184,196
675,295,185,196
676,295,186,196
677,296,186,196
678,296,187,196
679,297,187,196
680,297,188,196
681,297,189,196
682,298,189,196
683,298,189,197
684,299,189,197
685,299,190,197
686,299,190,198
687,300,190,198
688,301,190,198
689,302,190,198
690,303,190,198
691,303,190,199
692,304,190,199
693,305,190,199
694,306,190,199
695,306,191,199
696,307,191,199
697,307,191,200
698,307,192,200
699,307,193,200
700,308,193,200
701,309,193,200
702,309,194,200
703,309,194,201
704,309,194,202
705,309,195,202
706,309,196,202
707,309,197,202
708,310,197,202
709,311,197,202
710,311,198,202
711,312,198,202
712,313,198,202
713,313,199,202
714,313,200,202
715,313,200,203
716,313,200,204
717,313,200,205
718,314,200,205
719,315,200,205
720,315,201,205
721,315,201,206
722,315,202,206
723,315,202,207
724,315,202,208
725,315,203,208
726,315,203,209
727,315,203,210
728,316,203,210
729,317,203,210
730,318,203,210
731,319,203,210
732,320,203,210
733,320,203,211
734,320,203,212
735,320,204,212
736,320,205,212
737,320,206,212
738,320,207,212
739,320,208,212
740,320,209,212
741,320,210,212
742,320,210,213
743,320,210,214
744,320,211,214
745,320,211,215
746,320,211,216
747,320,211,217
748,320,212,217
749,321,212,217
750,321,213,217
751,322,213,217
752,323,213,217
753,324,213,217
754,325,213,217
755,325,213,218
756,325,214,218
757,326,214,218
758,327,214,218
759,328,214,218
760,329,214,218
761,330,214,218
762,331,214,218
763,332,214,218
764,333,214,218
765,333,215,218
766,334,215,218
767,335,215,218
768,335,215,219
769,335,216,219
770,336,216,219
771,337,216,219
772,338,216,219
773,339,216,219
774,339,216,220
775,339,216,221
776,339,216,222
777,340,216,222
778,340,217,222
779,340,218,222
780,341,218,222
781,341,219,222
782,342,219,222
783,342,220,222
784,342,221,222
785,343,221,222
786,344,221,222
787,345,221,222
788,346,221,222
789,347,221,222
790,347,221,223
791,348,221,223
792,348,221,224
793,349,221,224
794,350,221,224
795,350,222,224
796,351,222,224
797,352,222,224
798,352,222,225
799,353,222,225
800,354,222,225
801,354,222,226
802,354,222,227
803,354,223,227
804,354,224,227
805,354,225,227
806,354,225,228
807,354,226,228
808,355,226,228
809,355,226,229
810,356,226,229
811,356,227,229
812,356,228,229
813,356,229,229
814,356,229,230
815,357,229,230
816,357,229,231
817,357,230,231
818,358,230,231
819,359,230,231
820,359,230,232
821,359,231,232
822,360,231,232
823,361,231,232
824,361,231,233
825,361,232,233
826,361,232,234
827,362,232,234
828,362,233,234
829,363,233,234
830,363,234,234
831,363,234,235
832,363,234,236
833,363,235,236
834,364,235,236
835,364,235,237
836,364,236,237
837,364,236,238
838,365,236,238
839,365,236,239
840,365,236,240
841,366,236,240
842,366,236,241
843,367,236,241
844,367,236,242
845,367,237,242
846,368,237,242
847,369,237,242
848,370,237,242
849,371,237,242
850,371,237,243
851,371,238,243
852,371,239,243
853,371,239,244
854,371,240,244
855,372,240,244
856,372,240,245
857,373,240,245
858,373,240,246
859,374,240,246
860,375,240,246
861,376,240,246
862,376,240,247
863,376,240,248
864,376,241,248
865,376,241,249
866,377,241,249
867,378,241,249
868,378,241,250
869,378,242,250
870,378,242,251
871,379,242,251
872,379,243,251
873,380,243,251
874,381,243,251
875,382,243,251
876,383,243,251
877,383,244,251
878,384,244,251
879,384,245,251
880,385,245,251
881,385,246,251
882,386,246,251
883,386,246,252
884,386,247,252
885,386,248,252
886,386,248,253
887,386,249,253
888,386,250,253
889,386,251,253
890,386,252,253
891,387,252,253
892,387,252,254
893,388,252,254
894,388,253,254
895,389,253,254
896,390,253,254
897,391,253,254
898,391,254,254
899,391,254,255
900,391,255,255
901,391,256,255
902,391,257,255
903,391,258,255
904,391,259,255
905,392,259,255
906,393,259,255
907,394,259,255
908,394,260,255
909,395,260,255
910,396,260,255
911,397,260,255
912,398,260,255
913,399,260,255
914,400,260,255
915,400,261,255
916,400,261,256
917,401,261,256
918,402,261,256
919,403,261,256
920,404,261,256
921,404,261,257
922,405,261,257
923,405,261,258
924,405,262,258
925,406,262,258
926,407,262,258
927,407,263,258
928,408,263,258
929,408,264,258
930,408,265,258
931,408,266,258
932,409,266,258
933,410,266,258
934,410,266,259
935,410,266,260
936,410,266,261
937,411,266,261
938,412,266,261
939,412,266,262
940,412,267,262
941,412,267,263
942,412,268,263
943,412,268,264
944,413,268,264
945,414,268,264
946,414,268,265
947,414,269,265
948,415,269,265
949,416,269,265
950,416,269,266
951,416,269,267
952,416,269,268
953,417,269,268
954,418,269,268
955,418,269,269
956,418,270,269
957,419,270,269
958,419,271,269
959,420,271,269
960,421,271,269
961,422,271,269
962,422,272,269
963,423,272,269
964,424,272,269
965,424,273,269
966,425,273,269
967,426,273,269
968,426,274,269
969,427,274,269
970,427,274,270
971,428,274,270
972,428,274,271
973,429,274,271
974,430,274,271
975,430,275,271
976,431,275,271
977,432,275,271
978,432,276,271
979,433,276,271
980,433,276,272
981,434,276,272
982,435,276,272
983,436,276,272
984,437,276,272
985,438,276,272
986,438,277,272
987,438,277,273
988,438,278,273
989,438,279,273
990,438,279,274
991,439,279,274
992,439,279,275
993,440,279,275
994,440,280,275
995,440,281,275
996,441,281,275
997,442,281,275
998,442,282,275
999,442,283,275
